108;A Rede Social;0;5;2010;969047;2.47;272;
107;O Grande Truque;0;4;2006;57578;3.43;300;
106;Ilha do Medo;0;4;2010;68918;2.94;383;
105;Sem Saida;0;4;2002;66324;4.21;297;
104;Homem em Chamas;0;0;2004;167316;2.89;98;
103;Bad Boys;0;0;1995;587765;4.16;339;
102;A Hora do Rush;0;0;1998;735429;4.99;375;
101;Todo Mundo em Panico;0;1;2000;828267;2.86;233;
100;Corra que a Policia Vem Ai;0;1;1988;414386;4.78;136;
99;O Iluminado 2;0;3;2019;177634;2.01;195;
98;Divertidamente 2;0;1;2024;229130;4.71;206;
97;Ratatouille;0;1;2007;179389;3.46;209;
96;Monstros SA;0;1;2001;102793;4.55;386;
95;Procurando Nemo;0;1;2003;688823;4.51;277;
94;Vida de Inseto;0;1;1998;908189;2.29;282;
93;Wall-E;0;6;2008;266941;3.33;39;
92;Up: Altas Aventuras;0;5;2009;447374;2.84;94;
91;Coco;0;5;2017;204448;3.35;275;
90;O Rei Leao;0;5;1994;908529;2.75;56;
89;Rocky;0;5;1976;427179;3.02;373;
88;Karatê Kid;0;5;1984;690197;2.3;331;
87;Zumbilandia;0;1;2009;494710;2.16;374;
86;Deadpool;0;1;2016;456989;3.27;182;
85;Logan;0;0;2017;204659;2.29;49;
84;Doutor Estranho;0;6;2016;827733;4.42;243;
83;Thor: Ragnarok;0;0;2017;603782;3.42;296;
82;Guardioes da Galaxia;0;6;2014;143739;4.81;371;
81;Homem-Aranha no Aranhaverso;0;6;2018;706474;2.64;249;
80;Homem-Aranha: Sem Volta para Casa;0;0;2021;79299;2.71;264;
79;Uma Linda Mulher;0;2;1990;75674;4.58;17;
78;Titanic;0;2;1997;747225;2.18;324;
77;500 Dias com Ela;0;2;2009;622024;2.02;113;
76;La La Land;0;2;2016;27056;3.66;302;
75;Orgulho e Preconceito;0;2;2005;264947;2.19;116;
74;A Culpa e das Estrelas;0;2;2014;464381;3.35;265;
73;Como Eu Era Antes de Voce;0;2;2016;423373;3.95;344;
72;O Diario de uma Paixao;0;2;2004;728378;4.14;103;
71;Simplesmente Amor;0;2;2003;227086;4.27;277;
70;Encontros e Desencontros;0;2;2003;919812;3.27;311;
69;Se7en;0;4;1995;581510;2.8;85;
68;A Origem do Mal;0;4;2021;136869;3.98;66;
67;Fragmentado;0;4;2016;77574;3.6;390;
66;Shutter Island;0;4;2010;94814;3.46;375;
65;Zodiaco;0;4;2007;257572;4.84;291;
64;Garota Exemplar;0;4;2014;877064;2.72;158;
63;Prisioneiros;0;4;2013;122301;4.64;186;
62;Sete Pecados Mortais;0;4;1995;633038;3.47;166;
61;O Silencio dos Inocentes;0;4;1991;972242;4.76;272;
60;Sinister;0;3;2012;174396;4.86;277;
59;Us;0;3;2019;213573;3.12;79;
58;A Bruxa;0;3;2015;317942;3.52;328;
57;Pantano Sangrento;0;3;2005;961959;4.61;55;
56;Halloween;0;3;1978;529902;2.54;391;
55;Sexta-Feira 13;0;3;1980;762168;2.79;369;
54;Corra;0;3;2017;170840;2.01;233;
53;Hereditario;0;3;2018;361699;2.88;58;
52;Invocacao do Mal;0;3;2013;792352;4.31;137;
51;O Iluminado;0;3;1980;125116;4.65;350;
50;Nomadland;0;5;2020;585099;4.04;6;
49;O Discurso do Rei;0;5;2010;495785;2.75;271;
48;Moonlight;0;5;2016;408457;3.79;196;
47;Manchester a Beira Mar;0;5;2016;718536;3.79;217;
46;Room;0;5;2015;165265;2.48;322;
45;Birdman;0;5;2014;797495;4.58;25;
44;Whiplash;0;5;2014;150051;3.48;261;
43;Parasita;0;5;2019;423801;2.66;186;
42;Coringa;0;5;2019;617982;4.69;220;
41;Pantera Negra;0;0;2018;593637;2.79;276;
40;Homem de Ferro;0;0;2008;282746;2.74;72;
39;Vingadores: Ultimato;0;0;2019;963972;3.38;330;
38;Mad Max: Estrada da Furia;0;0;2015;692277;3.19;256;
37;Velozes e Furiosos;0;0;2001;599731;2.94;368;
36;Missao Impossivel;0;0;1996;74403;4.74;109;
35;Duro de Matar;0;0;1988;38659;3.2;162;
34;John Wick;0;0;2014;818694;2.69;29;
33;300;0;0;2006;722870;4.53;167;
32;Gladiador;0;0;2000;676088;3.67;353;
31;O Resgate do Soldado Ryan;0;0;1998;402887;4.97;139;
30;Forrest Gump;0;5;1994;769544;2.49;126;
29;A Vida e Bela;0;5;1997;643720;2.51;326;
28;Meu Malvado Favorito;0;1;2010;740911;3.94;350;
27;Superbad;0;1;2007;377528;4.01;108;
26;Se Beber Nao Case;0;1;2009;879628;2.49;187;
25;Como Treinar o Seu Dragao;0;1;2010;403591;3.36;143;
24;Shrek;0;1;2001;88667;4.6;120;
23;Toy Story;0;1;1995;243968;2.87;396;
22;Divertida Mente;0;1;2015;743797;2.14;36;
21;Ex Machina;0;6;2015;908565;3.73;186;
20;Chegada;0;6;2016;312419;3.86;322;
19;Marte;0;6;2015;135889;2.24;194;
18;Gravidade;0;6;2013;50561;3.38;374;
17;Duna Parte 2;0;6;2024;365663;2.79;310;
16;Duna;0;6;2021;403382;3.08;50;
15;Blade Runner 2049;0;6;2017;805581;2.31;173;
14;O Imperio Contra-Ataca;0;6;1980;296369;2.65;80;
13;Star Wars: Uma Nova Esperanca;0;6;1977;172414;3.27;358;
12;De Volta para o Futuro;0;6;1985;853749;4.28;4;
11;A Origem;0;6;2010;236148;3.77;230;
10;Interestelar;0;6;2014;686453;3.63;360;
9;Matrix;0;6;1999;32824;2.6;288;
8;O Cavaleiro das Trevas;0;0;2008;234258;3.52;120;
7;Pulp Fiction;0;5;1994;447417;2.09;17;
6;Clube da Luta;0;5;1999;940518;2.26;280;
5;Cidade de Deus;0;5;2002;777246;4.03;53;
4;Um Sonho de Liberdade;0;5;1994;293389;2.67;126;
3;O Poderoso Chefao;0;5;1972;675487;2.08;58;
2;Duna;0;0;2025;3;4.33333;3;
1;Roblox;4;0;2006;4;3;2;
